client_id,total_spend,avg_spend,transaction_count,spending_volatility,engagement_score,spending_tier,volatility_level,wellness_score,wellness_category,high_value_customer,digital_transaction_ratio,digital_persona,last_transaction_date,days_since_last_transaction,churn_risk,id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
0,10182.75,50.16133004926108,203,93.46721468776921,141.86453201970443,High Spender,Moderate,77.55495607722449,Moderate Wellness,0,0.11330049261083744,Traditional User,2019-10-25 14:09:00,6,Active,0,33,69,1986,3,Male,858 Plum Avenue,43.59,-70.33,29237.0,59613.0,36199.0,763,4
1,5741.3,39.59517241379311,145,66.53811828467876,102.83806896551724,Moderate Spender,Moderate,56.57092806720218,Moderate Wellness,0,0.31724137931034485,Traditional User,2019-10-29 11:53:00,2,Active,1,43,74,1976,4,Female,113 Burns Lane,30.44,-87.18,22247.0,45360.0,14587.0,704,3
2,4631.68,28.948,160,43.631099603134196,107.5792,Moderate Spender,Stable,63.95818007937316,Moderate Wellness,0,0.09375,Traditional User,2019-10-25 15:47:00,6,Active,2,48,64,1971,8,Male,6035 Forest Avenue,40.84,-73.87,13461.0,27447.0,80850.0,673,5
3,4706.81,48.02867346938776,98,20.80268160934309,78.0114693877551,Moderate Spender,Stable,49.44806571894771,Low Wellness,0,0.04081632653061224,Traditional User,2019-10-12 19:18:00,19,Active,3,49,65,1970,12,Male,840 Elm Avenue,33.89,-98.51,13705.0,27943.0,18693.0,681,4
4,7959.88,41.030309278350515,194,66.5511518794691,132.8121237113402,High Spender,Moderate,76.59886240761134,Moderate Wellness,0,0.010309278350515464,Traditional User,2019-10-23 08:50:00,8,Active,4,54,72,1965,3,Female,6016 Little Creek Boulevard,47.61,-122.3,37485.0,76431.0,115362.0,716,5
5,3931.92,59.57454545454546,66,106.43571672331426,63.429818181818185,Moderate Spender,Moderate,22.985220291700784,Low Wellness,0,0.10606060606060606,Traditional User,2019-09-04 13:45:00,57,High Risk,5,65,65,1955,2,Male,1032 Second Lane,42.95,-77.13,19095.0,20614.0,14042.0,711,2
11,13318.24,81.70699386503067,163,190.7478776418181,130.48279754601225,High Spender,Moderate,51.562522631145576,Moderate Wellness,0,0.03067484662576687,Traditional User,2019-10-20 13:02:00,11,Active,11,39,67,1980,10,Female,6339 Fourth Street,39.45,-76.81,33175.0,67643.0,0.0,714,6
13,3053.4,29.93529411764706,102,70.03064354310301,73.17411764705882,Moderate Spender,Moderate,35.77445952667352,Low Wellness,0,0.09803921568627451,Traditional User,2019-10-12 11:46:00,19,Active,13,52,61,1967,6,Female,4222 Ocean View Drive,37.89,-85.96,15879.0,32378.0,65919.0,588,4
14,3833.06,38.717777777777776,99,82.49462617693689,74.88711111111111,Moderate Spender,Moderate,34.71640809794596,Low Wellness,0,0.10101010101010101,Traditional User,2019-09-26 19:01:00,35,High Risk,14,79,57,1940,12,Female,2487 Martin Luther King Drive,21.39,-158.01,21314.0,32232.0,21134.0,652,5
16,8305.26,68.07590163934427,122,104.11377584284757,100.43036065573772,High Spender,Moderate,48.400015323233774,Low Wellness,0,0.1557377049180328,Traditional User,2019-10-15 14:25:00,16,Active,16,75,67,1944,12,Male,2890 Eighth Lane,41.88,-87.84,15451.0,22158.0,19101.0,681,5
